,Roughness,id,Links
357,0.315789474,acyclic ,5
358,0.285714286,acyclic ,5
359,0.45,acyclic ,5
360,0.266666667,acyclic ,5
361,0.352941176,acyclic ,5
362,0.85,acyclic ,5
363,0.904761905,acyclic ,5
364,0.3125,acyclic ,5
365,0.285714286,acyclic ,5
366,0.133333333,acyclic ,5
367,0.4,acyclic ,5
368,0.333333333,acyclic ,5
369,0.294117647,acyclic ,5
370,0.375,acyclic ,5
371,0.210526316,acyclic ,5
372,0.588235294,acyclic ,5
373,0.45,acyclic ,5
374,0.375,acyclic ,5
375,0.266666667,acyclic ,5
376,0.263157895,acyclic ,5
377,0.357142857,acyclic ,5
378,0.315789474,acyclic ,5
379,0.2,acyclic ,5
380,0.266666667,acyclic ,5
381,0.166666667,acyclic ,5
382,0.352941176,acyclic ,5
383,0.294117647,acyclic ,5
384,0.666666667,acyclic ,5
385,0.428571429,acyclic ,5
386,0.736842105,acyclic ,5
387,0.75,acyclic ,5
388,0.526315789,acyclic ,5
389,0.666666667,acyclic ,5
390,0.25,acyclic ,5
391,0.238095238,acyclic ,5
392,0.45,acyclic ,5
393,0.266666667,acyclic ,5
394,0.428571429,acyclic ,5
395,0.2,acyclic ,5
396,0.3125,acyclic ,5
397,0.294117647,acyclic ,5
398,0.1875,acyclic ,5
399,0.555555556,acyclic ,5
0,0.294117647,cyclic ,15
1,0.25,cyclic ,15
2,0.35,cyclic ,15
3,0.4,cyclic ,15
4,0.315789474,cyclic ,15
5,0.25,cyclic ,15
6,0.636363636,cyclic ,15
7,0.176470588,cyclic ,15
8,0.409090909,cyclic ,15
9,0.315789474,cyclic ,15
20,0.315789474,cyclic ,15
21,0.277777778,cyclic ,15
22,0.210526316,cyclic ,15
23,0.25,cyclic ,15
24,0.117647059,cyclic ,15
25,0.235294118,cyclic ,15
26,0.235294118,cyclic ,15
27,0.35,cyclic ,15
28,0.380952381,cyclic ,15
29,0.235294118,cyclic ,15
40,0.222222222,cyclic ,15
41,0.368421053,cyclic ,15
42,1.153846154,cyclic ,15
43,0.125,cyclic ,15
44,0.352941176,cyclic ,15
45,0.45,cyclic ,15
46,0.5,cyclic ,15
47,0.1875,cyclic ,15
48,0.166666667,cyclic ,15
49,0.142857143,cyclic ,15
60,0.315789474,cyclic ,15
61,0.608695652,cyclic ,15
62,0.315789474,cyclic ,15
63,0.476190476,cyclic ,15
64,0.210526316,cyclic ,15
65,0.210526316,cyclic ,15
66,0.318181818,cyclic ,15
67,0.277777778,cyclic ,15
68,0.35,cyclic ,15
69,0.210526316,cyclic ,15
80,0.210526316,cyclic ,15
81,0.318181818,cyclic ,15
82,0.210526316,cyclic ,15
83,0.117647059,cyclic ,15
84,0.526315789,cyclic ,15
85,0.277777778,cyclic ,15
86,0.315789474,cyclic ,15
87,0.476190476,cyclic ,15
88,0.526315789,cyclic ,15
89,0.315789474,cyclic ,15
100,0.25,cyclic ,15
101,0.277777778,cyclic ,15
102,0.380952381,cyclic ,15
103,0.166666667,cyclic ,15
104,0.35,cyclic ,15
105,0.6,cyclic ,15
106,0.25,cyclic ,15
107,0.2,cyclic ,15
108,0.25,cyclic ,15
109,0.117647059,cyclic ,15
120,0.2,cyclic ,15
121,0.6,cyclic ,15
122,0.454545455,cyclic ,15
123,0.294117647,cyclic ,15
124,0.285714286,cyclic ,15
125,0.428571429,cyclic ,15
126,0.2,cyclic ,15
127,0.5625,cyclic ,15
128,0.2,cyclic ,15
129,0.529411765,cyclic ,15
140,0.25,cyclic ,15
141,0.315789474,cyclic ,15
142,0.117647059,cyclic ,15
143,0.277777778,cyclic ,15
144,0.166666667,cyclic ,15
145,0.380952381,cyclic ,15
146,0.277777778,cyclic ,15
147,0.117647059,cyclic ,15
148,0.526315789,cyclic ,15
149,0.166666667,cyclic ,15
160,0.210526316,cyclic ,15
161,0.590909091,cyclic ,15
162,0.285714286,cyclic ,15
163,0.35,cyclic ,15
164,0.52173913,cyclic ,15
165,0.117647059,cyclic ,15
166,0.25,cyclic ,15
167,0.277777778,cyclic ,15
168,0.368421053,cyclic ,15
169,0.45,cyclic ,15
180,0.3125,cyclic ,15
181,0.375,cyclic ,15
182,0.4375,cyclic ,15
183,0.4,cyclic ,15
184,0.352941176,cyclic ,15
185,0.411764706,cyclic ,15
186,0.523809524,cyclic ,15
187,0.214285714,cyclic ,15
188,0.266666667,cyclic ,15
189,0.421052632,cyclic ,15
200,0.230769231,cyclic ,5
201,0.142857143,cyclic ,5
202,0.333333333,cyclic ,5
203,0.181818182,cyclic ,5
204,0.333333333,cyclic ,5
205,0.1875,cyclic ,5
206,0.333333333,cyclic ,5
207,0.3125,cyclic ,5
208,0.428571429,cyclic ,5
209,0.2,cyclic ,5
210,0.411764706,cyclic ,5
211,0.307692308,cyclic ,5
212,0.142857143,cyclic ,5
213,0.181818182,cyclic ,5
214,0.5625,cyclic ,5
215,0.235294118,cyclic ,5
216,0.210526316,cyclic ,5
217,0.3125,cyclic ,5
218,0.307692308,cyclic ,5
219,0.333333333,cyclic ,5
220,0.736842105,cyclic ,5
221,0.214285714,cyclic ,5
222,0.277777778,cyclic ,5
223,0.588235294,cyclic ,5
224,0.285714286,cyclic ,5
225,0.25,cyclic ,5
226,0.416666667,cyclic ,5
227,0.214285714,cyclic ,5
228,0.764705882,cyclic ,5
229,0.3125,cyclic ,5
230,0.2,cyclic ,5
231,0.294117647,cyclic ,5
232,0.368421053,cyclic ,5
233,0.333333333,cyclic ,5
234,0.4,cyclic ,5
235,0.2,cyclic ,5
236,0.294117647,cyclic ,5
237,0.666666667,cyclic ,5
238,0.214285714,cyclic ,5
239,0.266666667,cyclic ,5
240,0.2,cyclic ,5
241,0.181818182,cyclic ,5
242,0.142857143,cyclic ,5
243,0.266666667,cyclic ,5
244,0.375,cyclic ,5
245,0.65,cyclic ,5
246,0.25,cyclic ,5
247,0.142857143,cyclic ,5
248,0.416666667,cyclic ,5
249,0.235294118,cyclic ,5
250,0.352941176,cyclic ,5
