Roughness,id,Initial_State
0.125,No Extinction,Constant
0.5,No Extinction,Constant
0.333333333,No Extinction,Constant
0.2,No Extinction,Constant
0.25,No Extinction,Constant
0.176470588,No Extinction,Constant
0.285714286,No Extinction,Constant
0.25,No Extinction,Constant
0.277777778,No Extinction,Constant
0.4,No Extinction,Constant
0.315789474,No Extinction,Constant
0.117647059,No Extinction,Constant
0.166666667,No Extinction,Constant
0.277777778,No Extinction,Constant
0.25,No Extinction,Constant
0.55,No Extinction,Constant
0.315789474,No Extinction,Constant
0.166666667,No Extinction,Constant
0.611111111,No Extinction,Constant
0.4,No Extinction,Constant
0.272727273,No Extinction,Constant
0.375,No Extinction,Constant
0.166666667,No Extinction,Constant
0.357142857,No Extinction,Constant
0.384615385,No Extinction,Constant
0.25,No Extinction,Constant
0.214285714,No Extinction,Constant
0.705882353,No Extinction,Constant
0.294117647,No Extinction,Constant
0.210526316,No Extinction,Constant
0.333333333,No Extinction,Constant
0.235294118,No Extinction,Constant
0.176470588,No Extinction,Constant
0.125,No Extinction,Constant
0.333333333,No Extinction,Constant
0.4,No Extinction,Constant
0.352941176,No Extinction,Constant
0.25,No Extinction,Constant
0.3125,No Extinction,Constant
0.444444444,No Extinction,Constant
0.133333333,No Extinction,Constant
0.592592593,No Extinction,Constant
0.1875,No Extinction,Constant
0.294117647,No Extinction,Constant
0.125,No Extinction,Constant
0.133333333,No Extinction,Constant
0.352941176,No Extinction,Constant
0.368421053,No Extinction,Constant
0.277777778,No Extinction,Constant
0.277777778,No Extinction,Constant
0.277777778,No Extinction,Constant
0.277777778,No Extinction,Constant
0.277777778,No Extinction,Constant
0.235294118,No Extinction,Constant
0.235294118,No Extinction,Constant
0.166666667,No Extinction,Constant
0.210526316,No Extinction,Constant
0.294117647,No Extinction,Constant
0.473684211,No Extinction,Constant
0.176470588,No Extinction,Constant
0.619047619,No Extinction,Constant
0.473684211,No Extinction,Constant
0.3,No Extinction,Constant
0.294117647,No Extinction,Constant
0.176470588,No Extinction,Constant
0.294117647,No Extinction,Constant
0.333333333,No Extinction,Constant
0.368421053,No Extinction,Constant
0.294117647,No Extinction,Constant
0.526315789,No Extinction,Constant
0.2,No Extinction,Constant
0.428571429,No Extinction,Constant
0.333333333,No Extinction,Constant
0.294117647,No Extinction,Constant
0.470588235,No Extinction,Constant
0.3125,No Extinction,Constant
0.1875,No Extinction,Constant
0.352941176,No Extinction,Constant
0.666666667,No Extinction,Constant
0.375,No Extinction,Constant
0.2,No Extinction,Constant
0.2,No Extinction,Constant
0.181818182,No Extinction,Constant
0.181818182,No Extinction,Constant
0.363636364,No Extinction,Constant
0.714285714,No Extinction,Constant
0.363636364,No Extinction,Constant
0.166666667,No Extinction,Constant
0.545454545,No Extinction,Constant
0.25,No Extinction,Constant
0.277777778,No Extinction,Constant
0.409090909,No Extinction,Constant
0.117647059,No Extinction,Constant
0.294117647,No Extinction,Constant
0.352941176,No Extinction,Constant
0.277777778,No Extinction,Constant
0.166666667,No Extinction,Constant
0.176470588,No Extinction,Constant
0.375,Extinction,Constant
