,Autumnal Moth,Autumnal Rustic,Black Rustic,Broom Moth,Common Marbled Carpet,Dark Brocade,Dark Marbled Carpet,Dotted Border,Emperor Moth,Glaucous Shears,Golden-rod Brindle,Grey Mountain Carpet,Heath Rustic,Ingrailed Clay,July Highflyer,Light Knot Grass,Mottled Beauty,Pale Eggar,Purple Clay,Red Sword-grass,Satyr Pug,Scarce Silver Y,Small Square-spot,True Lover's Knot,Twin-spot Carpet,Winter Moth,Yellow-line Quaker
2009,0.0,0.0,0.0,4.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,18.0,1.0,3.0,0.0
2010,6.0,1.0,0.0,19.0,15.0,14.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,6.0,18.0
2011,5.0,0.0,0.0,9.0,20.0,6.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,3.0,32.0,71.0
2012,0.0,0.0,0.0,0.0,15.0,4.0,63.0,1.0,0.0,9.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,11.0,7.0
2013,0.0,0.0,0.0,1.0,8.0,1.0,99.0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0
2014,5.0,0.0,0.0,4.0,4.0,19.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,47.0,18.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,6.0,0.0,16.0,11.0
2015,2.0,1.0,0.0,1.0,19.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,38.0
2016,0.0,0.0,0.0,10.0,5.0,4.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,16.0,0.0,2.0,28.0
2017,1.0,0.0,0.0,3.0,5.0,5.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,29.0
2018,3.0,1.0,0.0,16.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,5.0,1.0,45.0,34.0
