RIS-TrapCode,CalDate,Black Rustic,Cloaked Minor,Coast Dart,Common Wainscot,Dark Arches,Dusky Brocade,Dusky Sallow,Flounced Rustic,Gatekeeper,Large Nutmeg,Marbled Minor,Meadow Brown,Middle-barred Minor,Ringlet,Rosy Minor,Rustic Shoulder-knot,Shoulder-striped Wainscot,Slender Brindle,Small Dotted Buff,Smoky Wainscot,Speckled Wood,Straw Dot,Tawny Marbled Minor,Wall
1,2007,34.0,272.0,0.0,1666.0,34.0,34.0,0.0,476.0,0.0,0.0,68.0,0.0,2074.0,0.0,0.0,68.0,68.0,0.0,0.0,952.0,0.0,2584.0,102.0,0.0
1,2008,0.0,748.0,0.0,510.0,306.0,0.0,68.0,646.0,0.0,0.0,34.0,0.0,1020.0,0.0,0.0,102.0,0.0,0.0,0.0,2516.0,0.0,12648.0,68.0,0.0
1,2009,0.0,544.0,0.0,1292.0,442.0,0.0,0.0,1224.0,0.0,0.0,102.0,0.0,5066.0,0.0,0.0,272.0,0.0,0.0,0.0,3604.0,0.0,25466.0,136.0,0.0
1,2010,0.0,1598.0,0.0,578.0,714.0,0.0,34.0,1190.0,0.0,0.0,136.0,0.0,10336.0,0.0,0.0,306.0,0.0,0.0,34.0,3434.0,0.0,8024.0,68.0,0.0
1,2011,0.0,1190.0,0.0,68.0,136.0,0.0,0.0,2278.0,0.0,136.0,68.0,0.0,5406.0,0.0,0.0,170.0,0.0,0.0,0.0,578.0,0.0,408.0,136.0,0.0
1,2012,0.0,204.0,0.0,34.0,136.0,0.0,0.0,680.0,0.0,0.0,34.0,0.0,1802.0,0.0,0.0,68.0,34.0,0.0,68.0,170.0,0.0,1360.0,136.0,0.0
1,2013,0.0,714.0,0.0,68.0,646.0,0.0,0.0,1054.0,0.0,0.0,204.0,0.0,4420.0,0.0,0.0,102.0,34.0,0.0,0.0,136.0,0.0,2176.0,238.0,0.0
1,2014,0.0,986.0,0.0,68.0,510.0,204.0,0.0,952.0,0.0,0.0,272.0,0.0,3196.0,0.0,0.0,136.0,34.0,0.0,0.0,918.0,0.0,2856.0,340.0,0.0
1,2015,34.0,714.0,0.0,0.0,442.0,0.0,0.0,816.0,0.0,0.0,170.0,0.0,1394.0,0.0,0.0,68.0,68.0,0.0,0.0,442.0,0.0,1360.0,306.0,0.0
1,2016,0.0,918.0,0.0,340.0,204.0,0.0,34.0,782.0,0.0,0.0,102.0,0.0,1292.0,0.0,0.0,34.0,0.0,0.0,0.0,1020.0,0.0,5508.0,714.0,0.0
1,2017,34.0,2210.0,0.0,2720.0,408.0,0.0,34.0,2278.0,0.0,0.0,68.0,0.0,3128.0,0.0,0.0,306.0,102.0,0.0,0.0,2788.0,0.0,11968.0,306.0,0.0
1,2018,0.0,2516.0,0.0,2516.0,204.0,0.0,204.0,1292.0,0.0,0.0,204.0,0.0,2584.0,0.0,0.0,306.0,136.0,0.0,0.0,2074.0,0.0,13226.0,578.0,0.0
2,1960,0.0,66.0,0.0,297.0,924.0,495.0,0.0,1188.0,0.0,396.0,264.0,0.0,726.0,0.0,0.0,363.0,33.0,0.0,99.0,957.0,0.0,0.0,0.0,0.0
2,1961,0.0,495.0,0.0,462.0,297.0,66.0,33.0,2277.0,0.0,0.0,66.0,0.0,231.0,0.0,0.0,0.0,66.0,0.0,99.0,1584.0,0.0,0.0,231.0,0.0
2,1962,0.0,891.0,0.0,1155.0,1551.0,99.0,0.0,2607.0,0.0,66.0,33.0,0.0,99.0,0.0,0.0,132.0,66.0,0.0,165.0,2607.0,0.0,0.0,561.0,0.0
2,1963,0.0,561.0,0.0,1320.0,1452.0,66.0,0.0,1947.0,0.0,33.0,297.0,0.0,165.0,0.0,0.0,66.0,66.0,0.0,462.0,1848.0,0.0,0.0,66.0,0.0
2,1964,0.0,231.0,0.0,990.0,132.0,33.0,0.0,693.0,0.0,33.0,66.0,0.0,297.0,0.0,0.0,99.0,33.0,0.0,33.0,1122.0,0.0,0.0,231.0,0.0
2,1965,0.0,264.0,0.0,792.0,990.0,66.0,0.0,1287.0,0.0,0.0,330.0,0.0,99.0,0.0,0.0,231.0,0.0,0.0,231.0,1716.0,0.0,0.0,0.0,0.0
18,1965,0.0,100.0,0.0,400.0,50.0,0.0,0.0,3000.0,0.0,0.0,225.0,0.0,175.0,0.0,0.0,0.0,25.0,0.0,75.0,225.0,0.0,0.0,0.0,0.0
18,1966,0.0,75.0,0.0,725.0,200.0,25.0,0.0,1450.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,275.0,0.0
18,1967,0.0,100.0,0.0,725.0,50.0,0.0,25.0,825.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,25.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
18,1968,0.0,0.0,0.0,675.0,150.0,0.0,0.0,1600.0,0.0,0.0,225.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
